Feature,Importance,Variance
Ferric_Oxide_Content_correlation,0.00237,0.0001898502385977308
MetamorphicIsograds,0.00213,0.000720072124282183
Magmap2019-grid-tmi_rtp_upcon-UC36km42kmRes-AWAGS_MAG_2019_homogeneity,0.00196,0.008527300277697695
RockUnits_LAO_Igneous rock,0.0019,3.09018102116644e-05
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_min,0.00187,0.00010126222173859277
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_contrast,0.00182,6.148043459324929e-05
Intrusions_Tabberabberan_Granodiorite,0.00178,4.422069541780618e-05
Quartz_Index_contrast,0.00158,0.002371006813264635
FeOH_Group_Content_mean,0.00132,8.549244262182404e-05
FeOH_Group_Content_correlation,0.00118,0.00016894587064500823
Ferrous_Iron_Content_in_MgOH_correlation,0.00111,0.00018638905134519382
Intrusions_Tabberabberan_Null,0.0011,2.857606334134665e-05
Magmap2019-grid-tmi_rtp_as-AWAGS_MAG_2019_correlation,0.00105,9.686203583221423e-05
RockUnits_LAO_Granite,0.00075,0.00013786722488591638
RockUnits_LAO_Granodiorite,0.00069,0.00019728132067201026
RockUnits_LAO_Basalt,0.00054,0.0012332286444410665
MetamorphicFacies_Benambran_Subgreenschist facies,0.00041,0.0002227868111487059
Intrusions_Tabberabberan_Granite,0.00032,0.003097339917044621
Green_Vegetation_min,0.00024,0.0011934562254088978
RockUnits_LAO_Siltstone,0.00019,0.0003023018937954333
RockUnits_LAO_Tuff and lapilli tuff,0.00017,0.0007852731992539669
Intrusions_Tabberabberan_Mafic igneous rock,0.00014,0.005549892903077785
MetamorphicFacies_KanimblanTablelands_Greenschist facies,0.0001,0.01105551774405907
MetamorphicFacies_KanimblanTablelands_Subgreenschist facies,6e-05,4.4626879359131846e-05
RockUnits_LAO_Pyroclastic rock,1e-05,0.00225743005082348
AlOH_Group_Composition_min,0.0,2.1359538409663337e-35
AlOH_Group_Content_min,0.0,1.1483129767924449e-05
FeOH_Group_Content_min,0.0,5.204613133471751e-07
FeOH_Group_Content_median,0.0,3.454594037347368e-07
Ferric_Oxide_Composition_min,0.0,0.007366551175111605
Ferrous_Iron_Content_in_MgOH_min,0.0,0.0
Ferrous_Iron_Content_in_MgOH_median,0.0,0.00243508980577892
Ferrous_Iron_Index_min,0.0,3.704743966466052e-33
Gypsum_Index_min,0.0,1.0643101259022056e-05
Gypsum_Index_median,0.0,0.00016003597802372334
Kaolin_Group_Index_min,0.0,2.0914762929503517e-06
Kaolin_Group_Index_median,0.0,6.425266042415484e-05
MgOH_Group_Composition_min,0.0,0.0
MgOH_Group_Composition_median,0.0,0.0
MgOH_Group_Content_min,0.0,0.0004242433663660919
MgOH_Group_Content_median,0.0,7.111071980536289e-06
Opaque_Index_min,0.0,0.0
Opaque_Index_median,0.0,3.603852295146228e-33
Quartz_Index_min,0.0,2.398387847614264e-05
MetamorphicFacies_Benambran_Null,0.0,1.907988654809034e-05
MetamorphicFacies_Tabberabberan_Null,0.0,5.295141073572624e-05
MetamorphicFacies_Tabberabberan_Upper Greenschist,0.0,0.0
Intrusions_Tabberabberan_Rhyolite,0.0,0.0
Intrusions_Tabberabberan_Tonalite,0.0,0.0018970134557526855
RockUnits_LAO_Conglomerate,0.0,0.0
RockUnits_LAO_Dacite,0.0,0.00114766857470521
RockUnits_LAO_Limestone,0.0,6.049264764890545e-09
RockUnits_LAO_Monzodiorite,0.0,0.0
RockUnits_LAO_Mudstone,0.0,1.4192904518011505e-32
RockUnits_LAO_Rhyolite,0.0,0.0
RockUnits_LAO_Sandstone,0.0,0.0
RockUnits_LAO_Sedimentary rock,0.0,0.0
RockUnits_LAO_Shale,0.0,3.7502863753783443e-06
RockUnits_LAO_Siliciclastic sedimentary rock,0.0,0.0
RockUnits_LAO_Tonalite,0.0,2.855062700670103e-06
RockUnits_LAO_Ultramafic igneous rock,0.0,0.0
