Feature,Importance,Variance
RockUnits_LAO_Sandstone,0.00133,0.0004183317385698153
Ferric_Oxide_Content_max,0.00127,0.00013804869847704884
Quartz_Index_contrast,0.00107,0.0003474168453679434
MetamorphicFacies_Benambran_Subgreenschist facies,0.00089,3.0017218397102182e-05
RockUnits_LAO_Granite,0.00075,0.00041516974600555763
RockUnits_LAO_Siliciclastic sedimentary rock,0.00075,0.0002594305451747501
Ferrous_Iron_Content_in_MgOH_correlation,0.00074,0.0005250136097538215
Intrusions_Tabberabberan_Granodiorite,0.00067,0.003747394490817852
Intrusions_Tabberabberan_Null,0.00063,0.00047574302948275097
RockUnits_LAO_Tonalite,0.00061,0.0017575095974362354
FeOH_Group_Content_correlation,0.0005,0.005828718151199203
RockUnits_LAO_Siltstone,0.00038,0.0012153607682081446
MetamorphicFacies_Benambran_Null,0.00036,0.00037947256675391783
RockUnits_LAO_Dacite,0.00035,0.0006417609141770344
RockUnits_LAO_Pyroclastic rock,0.00035,0.005959177317346265
Intrusions_Tabberabberan_Granite,0.0003,0.01130703474637812
Intrusions_Tabberabberan_Mafic igneous rock,0.00017,0.00011236273105121892
RockUnits_LAO_Granodiorite,0.00015,0.0006602792062956057
RockUnits_LAO_Basalt,9e-05,2.6227113585488344e-05
Gypsum_Index_median,2e-05,4.9129432685528306e-05
AlOH_Group_Composition_median,1e-05,0.0
MetamorphicFacies_KanimblanTablelands_Subgreenschist facies,1e-05,1.0382657587042634e-08
AlOH_Group_Composition_min,0.0,2.6242413482988804e-09
AlOH_Group_Content_min,0.0,0.008944869108374475
FeOH_Group_Content_min,0.0,0.0004822468568089509
FeOH_Group_Content_median,0.0,0.0014333971420088809
Ferric_Oxide_Composition_min,0.0,0.0
Ferric_Oxide_Content_min,0.0,0.0
Ferrous_Iron_Content_in_MgOH_min,0.0,1.7953200092298405e-05
Ferrous_Iron_Content_in_MgOH_median,0.0,0.0
Ferrous_Iron_Index_min,0.0,4.8047832144826254e-05
Gypsum_Index_min,0.0,0.0
Kaolin_Group_Index_min,0.0,3.149750132163826e-06
Kaolin_Group_Index_median,0.0,0.0
MgOH_Group_Composition_min,0.0,4.103914134483375e-05
MgOH_Group_Composition_median,0.0,0.0
MgOH_Group_Content_min,0.0,0.00017294690595903898
MgOH_Group_Content_median,0.0,1.5918001355655824e-06
Opaque_Index_min,0.0,0.0
Opaque_Index_median,0.0,1.21214605382142e-05
Quartz_Index_min,0.0,0.0
MetamorphicFacies_KanimblanTablelands_Greenschist facies,0.0,0.0
MetamorphicFacies_Tabberabberan_Amphibolite facies,0.0,4.103206900305991e-05
MetamorphicFacies_Tabberabberan_Upper Greenschist,0.0,4.377463762574239e-06
Intrusions_Tabberabberan_Diorite,0.0,0.00025196859050579995
Intrusions_Tabberabberan_Granitic rock,0.0,0.0
Intrusions_Tabberabberan_Igneous rock,0.0,0.0
Intrusions_Tabberabberan_Monzodiorite,0.0,0.0
Intrusions_Tabberabberan_Rhyolite,0.0,0.0005382983699249763
RockUnits_LAO_Conglomerate,0.0,0.0
RockUnits_LAO_Diorite,0.0,0.00037950104233660446
RockUnits_LAO_Gneiss,0.0,2.4076800702208426e-05
RockUnits_LAO_Limestone,0.0,0.0
RockUnits_LAO_Metamorphic rock,0.0,0.000155113080959983
RockUnits_LAO_Monzodiorite,0.0,0.0
RockUnits_LAO_Mudstone,0.0,0.0
RockUnits_LAO_Rhyolite,0.0,2.734598144265227e-32
RockUnits_LAO_Schist,0.0,5.610201486221121e-05
RockUnits_LAO_Sedimentary rock,0.0,1.5552522389367684e-05
RockUnits_LAO_Shale,0.0,3.669101111662247e-05
RockUnits_LAO_Tuff and lapilli tuff,0.0,0.0
