Feature,Importance,Variance
Radmap2019-grid-uth_ratio-AWAGS_RAD_2019_correlation,0.00228,0.0007372139144166549
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_dissimilarity,0.00211,0.0
FeOH_Group_Content_mean,0.00182,6.498198082821169e-05
Intrusions_Tabberabberan_Granite,0.00166,0.0
RockUnits_LAO_Granite,0.00157,2.472757041451397e-05
MetamorphicFacies_Benambran_Null,0.00069,0.0
RockUnits_LAO_Monzonite,0.00058,0.0
RockUnits_LAO_Pyroclastic rock,0.00034,1.8892356338811775e-05
RockUnits_LAO_Siltstone,0.00023,5.466910287672733e-05
MetamorphicFacies_KanimblanTablelands_Subgreenschist facies,0.00021,0.0
MetamorphicFacies_KanimblanTablelands_Greenschist facies,0.0,0.0
MetamorphicFacies_Tabberabberan_Null,0.0,0.0
MetamorphicFacies_Tabberabberan_Upper Greenschist,0.0,9.92094710739854e-06
Intrusions_Tabberabberan_Granodiorite,0.0,0.0
Intrusions_Tabberabberan_Igneous rock,0.0,0.00021401119336204633
RockUnits_LAO_Basalt,0.0,0.0
RockUnits_LAO_Conglomerate,0.0,0.0
RockUnits_LAO_Dacite,0.0,3.0710848850952936e-06
RockUnits_LAO_Granodiorite,0.0,0.0
RockUnits_LAO_Limestone,0.0,4.070769315061926e-05
RockUnits_LAO_Monzodiorite,0.0,0.0
RockUnits_LAO_Mudstone,0.0,7.341445549014473e-07
RockUnits_LAO_Pyroclastic breccia,0.0,0.0
RockUnits_LAO_Sandstone,0.0,0.0
RockUnits_LAO_Sedimentary rock,0.0,0.0
RockUnits_LAO_Shale,0.0,0.0
RockUnits_LAO_Siliciclastic sedimentary rock,0.0,4.720234333520165e-07
RockUnits_LAO_Tonalite,0.0,0.0
RockUnits_LAO_Tuff and lapilli tuff,0.0,0.0
