IntrusionsBndys_FaultedBndys,IntrusionsBndys_GeologicalBndys,IntrusionsBndys_IntrusiveBndys,IntrusionsBndys_UnconformableBndys,MetamorphicBoundaries_Faults,MetamorphicBoundaries_GeologicalBndys,MetamorphicBoundaries_MetamorphicBndys,MetamorphicBoundaries_Unconformities,RockUnitBndyFaults_LAO_Faulted boundary,RockUnitBndyFaults_LAO_Geological boundary,RockUnitBndyFaults_LAO_Intrusive boundary,RockUnitBndyFaults_LAO_Unconformable boundary,MetamorphicIsograds,vs_cluster_boundaries
10412.978065412812,9022.687315153942,142685.53186973245,10974.805844310295,74951.00783877308,74904.95691373559,17273.590162839108,100296.61384141896,5619.8177739556795,23.464901666020054,136322.94938092897,10974.805844310295,34051.3308075359,1195.770831112332
11564.14053128138,9431.491971262752,139124.89149254074,11406.655520860853,76833.27317853033,76755.60462013878,17629.494104196332,99872.3694884578,6811.41170292807,23.495096192163437,132811.7116476512,10141.396539964835,32325.163474833953,1208.507557902944
3474.0177895508823,3027.435912041047,124765.52554113789,15163.818266725379,50634.746611121016,48692.13318065912,9518.691110287606,127112.79960503157,239.33332563980272,1047.11379634556,123897.43295411616,11350.662726603272,20464.417192488247,31843.26466531569
5065.147843005535,1348.074060225956,146413.49664757398,22211.994580180468,32316.16858181361,32245.23858590197,8250.06250630922,141159.38403828515,851.2129997594413,417.6160750013528,108582.5157738357,3784.6277721654933,504.81416749810626,41438.32726513407
5053.040196859796,4712.036655476627,234706.80417966313,62191.39185700806,7949.411582739227,7719.453901735687,9638.31088846577,70647.13995422891,470.23488504741164,140.06870428056587,193969.75595868568,15712.364762653973,3717.5365783651064,25715.555157339513
2235.1064146274157,1806.397069990824,231677.15093711065,62051.612944108,6816.346701294994,6816.346701294994,6477.254098335372,64900.76809372267,1925.8837075522595,1806.397069990824,197908.40873574288,14418.970420769821,959.7428123086693,23052.351870030012
1743.4686243524861,205.34669526913956,224430.59981587468,62160.23449236854,5606.608370115532,1938.3860381080449,2116.801435831727,53826.897034017,190.71623816392704,205.34669526913956,203728.6672406823,13888.667362410277,806.0905977430235,20224.572027040304
3637.62781614891,3479.255572347688,235602.32364815215,63523.44615651562,6534.581846953067,6239.78802948271,8188.8324997493255,70483.81237722952,291.1253863418171,814.2550378013175,195361.31904903703,16761.207853421703,2485.7597238690228,24247.920537642578
776.1285446519636,423.4566213790717,230727.65764281683,62194.344716635715,6683.615613035151,6347.731055958318,5353.359101225024,62976.723913399204,776.1285446519636,423.4566213790717,199312.28378317022,14039.638897613379,83.79949334791043,22094.5014551447
4499.075913389989,4384.195936999925,235626.49691337167,63132.1089850672,7069.341515079609,6886.58761315484,8985.03682042753,71123.96036432358,412.9774617213642,53.799520502602526,194510.53251229096,16656.38716840328,3390.04423007104,24998.827722151644
5014.23181699097,4942.872202635505,235739.95906557125,62984.35590478405,7363.348527276886,7234.745611260703,9429.174307847703,71588.86194000153,462.6397442337904,278.1692508356957,194020.0404865842,16712.791332338602,3951.01143484559,25407.180206553156
5858.477092373246,5500.974872613839,234405.6887310171,61584.09504811145,8657.180846084568,8462.098770108738,10441.844275038373,70955.61869692036,336.6454729971332,678.0603457385341,193166.01221779047,15347.059830062635,4503.2673131526035,26508.58671650717
