Feature,Importance,Variance
Green_Vegetation_correlation,0.00228,0.0006300447386429397
Magmap2019-grid-tmi_rtp_upcon-UC8km12kmRes-AWAGS_MAG_2019_contrast,0.00202,0.009441451724707992
Magmap2019-grid-tmi_rtp_upcon-UC36km42kmRes-AWAGS_MAG_2019_homogeneity,0.00199,1.2156838510105198e-05
Magmap2019-grid-tmi_rtp_upcon-UC42km50kmRes-AWAGS_MAG_2019_energy,0.00199,6.75944898546869e-05
Intrusions_Tabberabberan_Granodiorite,0.00197,6.0274900500912105e-05
Quartz_Index_contrast,0.00194,9.433104595223651e-05
Ferrous_Iron_Content_in_MgOH_correlation,0.00193,0.003309787215203669
Ferric_Oxide_Content_max,0.00161,6.805983025560493e-05
Magmap2019-grid-tmi_rtp_upcon-UC24km30kmRes-AWAGS_MAG_2019_energy,0.00153,0.00021466220471413506
RockUnits_LAO_Igneous rock,0.00132,0.00021164328148470538
RockUnits_LAO_Basalt,0.00111,5.208148035527851e-05
FeOH_Group_Content_mean,0.00107,0.00010775114401539217
Intrusions_Tabberabberan_Null,0.00097,6.044000690520241e-05
FeOH_Group_Content_correlation,0.00082,0.0005618743404896999
RockUnits_LAO_Granodiorite,0.00077,0.0007384381450020933
MetamorphicFacies_Tabberabberan_Null,0.00052,7.649714589635512e-05
Green_Vegetation_min,0.00047,0.0036144217089013673
RockUnits_LAO_Pyroclastic rock,0.00032,0.0016988142486304475
RockUnits_LAO_Siltstone,0.0003,0.0009368466052445942
MetamorphicFacies_Benambran_Null,0.00029,0.0008824844750202848
RockUnits_LAO_Granite,0.00016,0.0063542671465311295
MetamorphicFacies_KanimblanTablelands_Greenschist facies,0.00012,0.007521512791058323
RockUnits_LAO_Sandstone,0.00011,0.0001274571706960967
MetamorphicFacies_KanimblanTablelands_Subgreenschist facies,7e-05,0.001377381080611691
RockUnits_LAO_Dacite,6e-05,1.6619647829697447e-05
Intrusions_Tabberabberan_Mafic igneous rock,3e-05,0.0002526535776259253
AlOH_Group_Composition_min,0.0,8.096968434391701e-07
AlOH_Group_Content_min,0.0,5.311074936203738e-07
FeOH_Group_Content_min,0.0,0.00915270821698877
FeOH_Group_Content_median,0.0,5.3411780360465436e-05
Ferric_Oxide_Composition_min,0.0,0.002348301032809465
Ferrous_Iron_Content_in_MgOH_min,0.0,0.0
Ferrous_Iron_Content_in_MgOH_median,0.0,1.776587482557609e-33
Ferrous_Iron_Index_min,0.0,0.00011251937687790638
Gypsum_Index_min,0.0,1.5761099817896434e-07
Gypsum_Index_median,0.0,6.459689567961343e-05
Kaolin_Group_Index_min,0.0,0.0
Kaolin_Group_Index_median,0.0,0.0
MgOH_Group_Composition_min,0.0,0.00021614710370891307
MgOH_Group_Composition_median,0.0,1.5029256309237016e-05
MgOH_Group_Content_min,0.0,0.0
MgOH_Group_Content_median,0.0,6.07311979337858e-07
Opaque_Index_min,0.0,2.4491551032112755e-06
Opaque_Index_median,0.0,2.753911570772216e-05
Quartz_Index_min,0.0,3.477932460234703e-05
MetamorphicFacies_Tabberabberan_Upper Greenschist,0.0,0.0
Intrusions_Tabberabberan_Granite,0.0,0.0
Intrusions_Tabberabberan_Rhyolite,0.0,0.0011769679754940082
Intrusions_Tabberabberan_Tonalite,0.0,0.0
RockUnits_LAO_Conglomerate,0.0,0.0011727263138104915
RockUnits_LAO_Limestone,0.0,8.158915544235372e-06
RockUnits_LAO_Monzodiorite,0.0,0.0
RockUnits_LAO_Mudstone,0.0,1.7087135097812757e-06
RockUnits_LAO_Rhyolite,0.0,0.0
RockUnits_LAO_Sedimentary rock,0.0,0.0
RockUnits_LAO_Shale,0.0,0.0
RockUnits_LAO_Siliciclastic sedimentary rock,0.0,4.063233444033103e-06
RockUnits_LAO_Tonalite,0.0,0.0
RockUnits_LAO_Tuff and lapilli tuff,0.0,0.0
RockUnits_LAO_Ultramafic igneous rock,0.0,0.0
